# Universal TV Off - IR Codes Database

## Format
DeviceType|Manufacturer|Protocol|Frequency|Pattern|PowerAction|HexCode|Model|Bits

## Projector Codes

### Epson
PROJECTOR|Epson|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0x4CB340BF||32
PROJECTOR|Epson|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0x4CB320DF||32
PROJECTOR|Epson|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0x4CB3A05F||32
PROJECTOR|Epson|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,1690|TOGGLE|0x4CB3C03F|PowerLite|32
PROJECTOR|Epson|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,1690|OFF|0x4CB3609F|PowerLite|32

### BenQ
PROJECTOR|BenQ|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0x4040807F||32
PROJECTOR|BenQ|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0x404002FD||32
PROJECTOR|BenQ|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0x40408877||32

### Sony
PROJECTOR|Sony|SONY|40|9000,2250,610,520,610,520,610,1220,610,520,610,520,610,520,610,520,610,520,610,1220,610,1220,610,1220,610,520,610,520,610,1220,610,1220,610,1220,610,520,610,1220,610,520|TOGGLE|0xA90||12
PROJECTOR|Sony|SONY|40|9000,2250,610,520,610,520,610,1220,610,520,610,520,610,520,610,520,610,520,610,1220,610,1220,610,1220,610,520,610,520,610,1220,610,1220,610,1220,610,1220,610,520,610,520|ON|0x750||12
PROJECTOR|Sony|SONY|40|9000,2250,610,520,610,520,610,1220,610,520,610,520,610,520,610,520,610,520,610,1220,610,1220,610,1220,610,520,610,520,610,1220,610,1220,610,1220,610,520,610,1220,610,1220|OFF|0xF50||12

### Optoma
PROJECTOR|Optoma|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0xC1AA09F6||32
PROJECTOR|Optoma|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0xC1AA0AF5||32
PROJECTOR|Optoma|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0xC1AA0BF4||32

### ViewSonic
PROJECTOR|ViewSonic|NEC|38|9000,4500,560,560,560,1690,560,1690,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0xBE410001||32
PROJECTOR|ViewSonic|NEC|38|9000,4500,560,560,560,1690,560,1690,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0xBE410201||32
PROJECTOR|ViewSonic|NEC|38|9000,4500,560,560,560,1690,560,1690,560,560,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0xBE410301||32

### Acer
PROJECTOR|Acer|NEC|38|9000,4500,560,560,560,1690,560,560,560,1690,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0x10C8E11E||32
PROJECTOR|Acer|NEC|38|9000,4500,560,560,560,1690,560,560,560,1690,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0x10C8E21D||32
PROJECTOR|Acer|NEC|38|9000,4500,560,560,560,1690,560,560,560,1690,560,560,560,560,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0x10C8E31C||32

### Panasonic
PROJECTOR|Panasonic|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,1690,560,560|TOGGLE|0x4004091BC4||32
PROJECTOR|Panasonic|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,1690,560,560,560,560|ON|0x4004091AB6||32
PROJECTOR|Panasonic|NEC|38|9000,4500,560,560,560,1690,560,560,560,560,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690,560,1690,560,1690,560,560,560,560,560,1690|OFF|0x4004091DB2||32
